gender,age,marital_status,highest_qualification,nationality,ethnicity,State,gross_income,region,smoke,amt_weekends,amt_weekdays,type
Male,33,Single,GCSE/O Level,USA,White,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Female,28,Married,No Qualification,USA,White,Newyork,"Under $2,600",The North,No,NA,NA,
Female,75,Married,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,Yes,5,5,Packets
Female,21,Single,Other/Sub Degree,USA,White,Ohio,"$5,200 to $10,400",The North,Yes,5,10,Packets
Female,69,Divorced,GCSE/CSE,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,38,Married,GCSE/O Level,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Female,33,Single,GCSE/O Level,USA,White,Chicago,"$5,200 to $10,400",The North,Yes,10,4,Packets
Female,47,Married,No Qualification,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Female,44,Single,GCSE/CSE,USA,White,Missouri,"$2,600 to $5,200",The North,Yes,35,35,Hand-Rolled
Female,74,Married,No Qualification,USA,White,Newyork,"Under $2,600",The North,No,NA,NA,
Female,29,Married,GCSE/O Level,USA,White,Chicago,"Under $2,600",The North,No,NA,NA,
Female,23,Married,A Levels,Other,Asian,Ohio,"Under $2,600",The North,No,NA,NA,
Female,72,Widowed,No Qualification,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,31,Widowed,No Qualification,USA,Asian,Newyork,"$5,200 to $10,400",The North,Yes,10,8,Packets
Female,48,Married,No Qualification,USA,Asian,Chicago,"Under $2,600",The North,No,NA,NA,
Female,29,Married,GCSE/O Level,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Male,72,Married,Other/Sub Degree,USA,Black,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Female,52,Married,No Qualification,USA,White,Newyork,Unknown,The North,No,NA,NA,
Female,68,Single,Degree,USA,White,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Male,48,Married,Other/Sub Degree,USA,Chinese,Ohio,"$15,600 to $20,800",The North,Yes,40,40,Both/Mainly Packets
Female,55,Married,GCSE/O Level,USA,White,Missouri,"$10,400 to $15,600",The North,No,NA,NA,
Female,23,Married,ONC/BTEC,USA,White,Newyork,"$10,400 to $15,600",The North,Yes,7,7,Packets
Female,66,Widowed,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Female,33,Single,ONC/BTEC,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Female,37,Married,GCSE/CSE,USA,White,Missouri,"Under $2,600",The North,Yes,10,10,Packets
Male,42,Married,Degree,USA,White,Newyork,"$20,800 to $28,600",The North,No,NA,NA,
Female,46,Married,No Qualification,USA,White,Chicago,"$10,400 to $15,600",The North,Yes,20,20,Hand-Rolled
Male,57,Married,Other/Sub Degree,USA,White,Ohio,"$28,600 to $36,400",The North,No,NA,NA,
Female,36,Married,GCSE/O Level,USA,White,Missouri,"Under $2,600",The North,No,NA,NA,
Female,51,Married,GCSE/O Level,Scottish,White,Newyork,"$20,800 to $28,600",The North,No,NA,NA,
Female,18,Single,GCSE/O Level,USA,White,Chicago,Refused,The North,Yes,8,8,Hand-Rolled
Female,69,Married,GCSE/O Level,USA,White,Ohio,"Under $2,600",The North,No,NA,NA,
Male,30,Single,Degree,USA,White,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Male,51,Married,Higher/Sub Degree,USA,White,Newyork,"$28,600 to $36,400",The North,No,NA,NA,
Female,63,Married,No Qualification,USA,Asian,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,31,Single,Degree,USA,White,Ohio,"$28,600 to $36,400",The North,No,NA,NA,
Male,58,Single,No Qualification,USA,White,Missouri,"$10,400 to $15,600",The North,No,NA,NA,
Male,50,Married,GCSE/CSE,USA,White,Newyork,"$20,800 to $28,600",The North,Yes,15,15,Packets
Female,67,Divorced,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,Yes,20,20,Hand-Rolled
Male,20,Single,A Levels,USA,White,Ohio,Refused,The North,No,NA,NA,
Female,45,Single,Degree,USA,White,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Female,26,Married,GCSE/O Level,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Male,30,Single,Degree,USA,White,Chicago,"$28,600 to $36,400",The North,No,NA,NA,
Female,43,Married,Degree,Other,White,Ohio,Refused,The North,No,NA,NA,
Male,73,Widowed,Other/Sub Degree,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,52,Married,Higher/Sub Degree,USA,White,Newyork,"Under $2,600",The North,No,NA,NA,
Male,18,Single,No Qualification,USA,White,Chicago,"$10,400 to $15,600",The North,Yes,15,10,Both/Mainly Hand-Rolled
Male,52,Married,No Qualification,USA,White,Ohio,"$28,600 to $36,400",The North,No,NA,NA,
Male,33,Divorced,GCSE/O Level,USA,White,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Female,56,Divorced,GCSE/O Level,USA,White,Newyork,"$15,600 to $20,800",The North,No,NA,NA,
Female,65,Married,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Female,30,Single,No Qualification,USA,White,Ohio,"$2,600 to $5,200",The North,No,NA,NA,
Female,40,Married,No Qualification,USA,White,Missouri,"$5,200 to $10,400",The North,Yes,10,1,Both/Mainly Hand-Rolled
Female,26,Single,GCSE/CSE,USA,White,Newyork,"$5,200 to $10,400",The North,Yes,20,20,Packets
Male,74,Single,No Qualification,Refused,Refused,Chicago,Refused,The North,No,NA,NA,
Female,44,Married,Degree,Welsh,White,Ohio,"$28,600 to $36,400",The North,No,NA,NA,
Female,80,Widowed,No Qualification,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,67,Married,No Qualification,USA,White,Newyork,"Under $2,600",The North,No,NA,NA,
Female,59,Married,No Qualification,USA,White,Chicago,Refused,The North,No,NA,NA,
Female,28,Single,Higher/Sub Degree,USA,White,Ohio,"$5,200 to $10,400",The North,Yes,15,10,Packets
Female,31,Married,ONC/BTEC,USA,White,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Male,25,Single,GCSE/CSE,USA,White,Newyork,"$15,600 to $20,800",The North,No,NA,NA,
Female,64,Married,No Qualification,USA,White,Chicago,"Under $2,600",The North,No,NA,NA,
Male,68,Married,Other/Sub Degree,USA,White,Ohio,"$2,600 to $5,200",The North,No,NA,NA,
Female,61,Widowed,No Qualification,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Female,50,Divorced,No Qualification,USA,White,Newyork,"$10,400 to $15,600",The North,No,NA,NA,
Male,43,Married,Higher/Sub Degree,USA,Chinese,Chicago,"Above $36,400",The North,No,NA,NA,
Female,19,Single,No Qualification,Other,Asian,Ohio,"Under $2,600",The North,No,NA,NA,
Female,21,Married,GCSE/O Level,Other,Asian,Missouri,"Under $2,600",The North,No,NA,NA,
Male,51,Divorced,Degree,USA,White,Newyork,"$2,600 to $5,200",The North,No,NA,NA,
Male,65,Single,Other/Sub Degree,USA,White,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,50,Separated,No Qualification,Other,Asian,Ohio,"$2,600 to $5,200",The North,No,NA,NA,
Female,38,Single,Other/Sub Degree,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,78,Widowed,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Male,74,Widowed,No Qualification,Other,Asian,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Female,22,Single,Degree,Other,Asian,Ohio,"$2,600 to $5,200",The North,No,NA,NA,
Male,66,Married,No Qualification,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Female,48,Single,No Qualification,USA,White,Newyork,"$2,600 to $5,200",The North,No,NA,NA,
Female,59,Married,No Qualification,USA,White,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,69,Widowed,No Qualification,USA,White,Ohio,Unknown,The North,No,NA,NA,
Female,76,Widowed,No Qualification,USA,White,Missouri,"$5,200 to $10,400",The North,Yes,20,20,Packets
Female,21,Single,ONC/BTEC,USA,White,Newyork,"$2,600 to $5,200",The North,No,NA,NA,
Female,47,Married,GCSE/O Level,USA,White,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Female,77,Widowed,No Qualification,USA,White,Ohio,"$2,600 to $5,200",The North,No,NA,NA,
Female,25,Single,GCSE/O Level,USA,White,Missouri,"$10,400 to $15,600",The North,Yes,10,10,Packets
Female,71,Widowed,No Qualification,USA,White,Newyork,"$2,600 to $5,200",The North,No,NA,NA,
Female,24,Single,GCSE/O Level,USA,White,Chicago,"$2,600 to $5,200",The North,Yes,10,10,Packets
Female,90,Widowed,No Qualification,USA,White,Ohio,"$2,600 to $5,200",The North,No,NA,NA,
Female,41,Divorced,GCSE/O Level,USA,White,Missouri,"$5,200 to $10,400",The North,Yes,10,10,Packets
Female,69,Married,No Qualification,USA,White,Newyork,"Under $2,600",The North,No,NA,NA,
Female,35,Married,GCSE/O Level,USA,White,Chicago,"$15,600 to $20,800",The North,No,NA,NA,
Female,32,Single,No Qualification,USA,White,Ohio,"$5,200 to $10,400",The North,Yes,12,7,Packets
Female,48,Single,GCSE/O Level,USA,White,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Female,34,Married,No Qualification,USA,White,Newyork,"$2,600 to $5,200",The North,No,NA,NA,
Female,28,Married,GCSE/O Level,USA,White,Chicago,"$5,200 to $10,400",The North,Yes,10,4,Packets
Male,66,Married,No Qualification,USA,White,Ohio,Unknown,The North,No,NA,NA,
Male,56,Married,GCSE/CSE,USA,White,Missouri,"$20,800 to $28,600",The North,No,NA,NA,
Male,51,Married,Other/Sub Degree,USA,White,Newyork,"$10,400 to $15,600",The North,No,NA,NA,
Female,63,Married,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Male,44,Married,Degree,USA,White,Ohio,"$28,600 to $36,400",The North,No,NA,NA,
Female,45,Married,Higher/Sub Degree,USA,White,Missouri,"$10,400 to $15,600",The North,No,NA,NA,
Male,55,Married,No Qualification,USA,White,Newyork,"$10,400 to $15,600",The North,Yes,20,20,Packets
Female,55,Married,No Qualification,USA,White,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,55,Married,A Levels,Scottish,White,Ohio,Refused,The North,No,NA,NA,
Female,57,Married,GCSE/O Level,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Male,76,Married,A Levels,Scottish,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Female,59,Married,No Qualification,USA,White,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,46,Married,No Qualification,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Female,56,Married,No Qualification,USA,White,Missouri,"Under $2,600",The North,No,NA,NA,
Male,67,Married,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Female,73,Single,Other/Sub Degree,USA,White,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Female,82,Widowed,No Qualification,USA,White,Ohio,Refused,The North,No,NA,NA,
Male,75,Married,ONC/BTEC,USA,White,Missouri,Refused,The North,No,NA,NA,
Female,41,Married,Other/Sub Degree,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Female,40,Married,A Levels,USA,White,Chicago,"$15,600 to $20,800",The North,No,NA,NA,
Male,37,Married,GCSE/O Level,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Male,53,Married,ONC/BTEC,USA,White,Missouri,"$20,800 to $28,600",The North,No,NA,NA,
Female,35,Married,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Female,39,Married,GCSE/O Level,USA,White,Chicago,"$20,800 to $28,600",The North,No,NA,NA,
Female,31,Separated,Other/Sub Degree,USA,White,Ohio,"$2,600 to $5,200",The North,No,NA,NA,
Male,38,Married,ONC/BTEC,USA,White,Missouri,"Above $36,400",The North,No,NA,NA,
Female,34,Divorced,GCSE/O Level,USA,White,Newyork,"$10,400 to $15,600",The North,Yes,25,10,Packets
Female,36,Married,A Levels,USA,White,Chicago,"$10,400 to $15,600",The North,Yes,20,20,Packets
Male,31,Single,Degree,USA,White,Ohio,"$20,800 to $28,600",The North,No,NA,NA,
Female,31,Single,GCSE/CSE,USA,White,Missouri,"Under $2,600",The North,Yes,10,10,Hand-Rolled
Male,35,Married,Degree,USA,White,Newyork,"$20,800 to $28,600",The North,No,NA,NA,
Male,42,Married,No Qualification,USA,White,Chicago,"$20,800 to $28,600",The North,No,NA,NA,
Male,30,Single,GCSE/CSE,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Female,39,Divorced,GCSE/O Level,USA,White,Missouri,"$10,400 to $15,600",The North,No,NA,NA,
Female,47,Married,GCSE/O Level,Scottish,White,Newyork,"$10,400 to $15,600",The North,No,NA,NA,
Male,38,Married,Higher/Sub Degree,USA,White,Chicago,"$20,800 to $28,600",The North,No,NA,NA,
Female,29,Divorced,A Levels,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Male,75,Widowed,No Qualification,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Female,47,Married,Higher/Sub Degree,USA,White,Newyork,Refused,The North,No,NA,NA,
Male,55,Married,No Qualification,USA,White,Chicago,"$15,600 to $20,800",The North,No,NA,NA,
Male,42,Married,Higher/Sub Degree,Other,White,Ohio,"Above $36,400",The North,No,NA,NA,
Female,39,Married,Degree,USA,White,Missouri,"Above $36,400",The North,No,NA,NA,
Male,64,Married,GCSE/O Level,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Female,84,Widowed,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Female,49,Married,Higher/Sub Degree,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Male,24,Single,Higher/Sub Degree,USA,White,Missouri,"$10,400 to $15,600",The North,No,NA,NA,
Male,38,Single,GCSE/O Level,Scottish,White,Newyork,"$10,400 to $15,600",The North,Yes,30,30,Hand-Rolled
Female,45,Married,Degree,Other,White,Chicago,"$15,600 to $20,800",The North,No,NA,NA,
Female,47,Divorced,GCSE/O Level,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Male,37,Divorced,Higher/Sub Degree,USA,White,Missouri,"$28,600 to $36,400",The North,No,NA,NA,
Male,59,Married,Higher/Sub Degree,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Male,25,Single,Degree,Other,White,Chicago,"$28,600 to $36,400",The North,No,NA,NA,
Male,56,Married,No Qualification,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Female,71,Divorced,GCSE/CSE,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Male,81,Widowed,Higher/Sub Degree,USA,White,Newyork,"$10,400 to $15,600",The North,No,NA,NA,
Male,55,Married,A Levels,USA,White,Chicago,"$15,600 to $20,800",Midlands & East Anglia,No,NA,NA,
Male,42,Married,GCSE/CSE,USA,White,Ohio,"Above $36,400",Midlands & East Anglia,No,NA,NA,
Male,73,Married,No Qualification,USA,Black,Missouri,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Male,43,Married,A Levels,USA,Black,Newyork,"$28,600 to $36,400",Midlands & East Anglia,No,NA,NA,
Female,57,Divorced,No Qualification,USA,Black,Chicago,"$10,400 to $15,600",Midlands & East Anglia,Yes,15,10,Packets
Female,47,Married,Degree,USA,Black,Ohio,"Above $36,400",Midlands & East Anglia,No,NA,NA,
Female,29,Married,No Qualification,USA,Black,Missouri,"$10,400 to $15,600",Midlands & East Anglia,Yes,15,15,Packets
Female,30,Widowed,GCSE/CSE,USA,Black,Newyork,"$10,400 to $15,600",Midlands & East Anglia,No,NA,NA,
Male,58,Married,No Qualification,USA,Black,Chicago,"$15,600 to $20,800",Midlands & East Anglia,Yes,30,25,Packets
Female,58,Married,Degree,USA,Black,Ohio,"$28,600 to $36,400",Midlands & East Anglia,No,NA,NA,
Male,70,Widowed,No Qualification,USA,Black,Missouri,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Male,18,Single,A Levels,USA,Black,Newyork,Refused,Midlands & East Anglia,No,NA,NA,
Female,45,Single,No Qualification,USA,Black,Chicago,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Male,37,Single,GCSE/O Level,USA,Black,Ohio,"$15,600 to $20,800",Midlands & East Anglia,Yes,15,10,Both/Mainly Packets
Female,44,Separated,GCSE/O Level,USA,Black,Missouri,"$10,400 to $15,600",Midlands & East Anglia,No,NA,NA,
Male,46,Married,Degree,USA,Black,Newyork,"Above $36,400",Midlands & East Anglia,No,NA,NA,
Male,29,Married,Degree,USA,Black,Chicago,"$20,800 to $28,600",Midlands & East Anglia,No,NA,NA,
Male,50,Married,GCSE/O Level,USA,Black,Ohio,"Above $36,400",Midlands & East Anglia,No,NA,NA,
Female,51,Married,No Qualification,USA,Black,Missouri,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Male,80,Widowed,No Qualification,USA,Black,Newyork,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Female,85,Married,A Levels,USA,White,Chicago,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Female,49,Married,No Qualification,USA,White,Ohio,"Under $2,600",Midlands & East Anglia,No,NA,NA,
Male,52,Married,No Qualification,USA,White,Missouri,"$20,800 to $28,600",Midlands & East Anglia,No,NA,NA,
Female,58,Married,No Qualification,USA,White,Newyork,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Female,49,Married,Degree,USA,White,Chicago,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Male,39,Single,Degree,USA,White,Ohio,"$28,600 to $36,400",Midlands & East Anglia,No,NA,NA,
Female,53,Married,Degree,USA,White,Missouri,"$5,200 to $10,400",Midlands & East Anglia,Yes,15,15,Both/Mainly Hand-Rolled
Female,71,Married,GCSE/O Level,USA,White,Newyork,"$10,400 to $15,600",Midlands & East Anglia,No,NA,NA,
Male,29,Single,Higher/Sub Degree,USA,White,Chicago,"$15,600 to $20,800",Midlands & East Anglia,No,NA,NA,
Female,66,Married,No Qualification,USA,White,Ohio,"$15,600 to $20,800",Midlands & East Anglia,No,NA,NA,
Male,75,Married,Other/Sub Degree,USA,White,Missouri,"$20,800 to $28,600",Midlands & East Anglia,No,NA,NA,
Female,45,Divorced,Degree,USA,White,Newyork,"$28,600 to $36,400",Midlands & East Anglia,No,NA,NA,
Female,69,Married,No Qualification,USA,White,Chicago,"Under $2,600",Midlands & East Anglia,No,NA,NA,
Female,49,Divorced,Degree,USA,White,Ohio,"$15,600 to $20,800",Midlands & East Anglia,No,NA,NA,
Male,63,Married,No Qualification,USA,White,Missouri,"$15,600 to $20,800",Midlands & East Anglia,No,NA,NA,
Male,61,Married,Other/Sub Degree,USA,White,Newyork,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Female,55,Married,Higher/Sub Degree,USA,White,Chicago,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Male,57,Married,Higher/Sub Degree,USA,White,Ohio,"$10,400 to $15,600",Midlands & East Anglia,No,NA,NA,
Female,60,Married,Degree,USA,White,Missouri,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Male,58,Married,GCSE/O Level,USA,White,Newyork,"$20,800 to $28,600",Midlands & East Anglia,No,NA,NA,
Female,76,Widowed,No Qualification,USA,White,Chicago,"$5,200 to $10,400",Midlands & East Anglia,Yes,10,6,Packets
Male,29,Single,Higher/Sub Degree,USA,White,Ohio,"$20,800 to $28,600",Midlands & East Anglia,Yes,20,20,Packets
Female,50,Married,GCSE/O Level,USA,White,Missouri,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Male,40,Married,GCSE/O Level,USA,White,Newyork,Refused,Midlands & East Anglia,No,NA,NA,
Female,34,Married,Higher/Sub Degree,USA,White,Chicago,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Female,77,Widowed,No Qualification,Irish,White,Ohio,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Male,47,Married,Degree,USA,White,Missouri,"Above $36,400",Midlands & East Anglia,No,NA,NA,
Female,68,Married,No Qualification,USA,White,Newyork,"Under $2,600",Midlands & East Anglia,No,NA,NA,
Male,31,Married,Higher/Sub Degree,USA,White,Chicago,"Above $36,400",Midlands & East Anglia,No,NA,NA,
Male,41,Married,Degree,USA,Asian,Ohio,"$20,800 to $28,600",Midlands & East Anglia,No,NA,NA,
Female,55,Married,Higher/Sub Degree,USA,White,Missouri,"$5,200 to $10,400",Midlands & East Anglia,Yes,25,15,Packets
Male,66,Married,A Levels,USA,Asian,Newyork,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Female,80,Married,No Qualification,USA,White,Chicago,"Under $2,600",Midlands & East Anglia,No,NA,NA,
Female,45,Married,Degree,USA,Asian,Ohio,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Male,63,Married,Degree,USA,White,Missouri,"Above $36,400",Midlands & East Anglia,No,NA,NA,
Male,62,Married,Degree,Scottish,White,Newyork,"$20,800 to $28,600",Midlands & East Anglia,No,NA,NA,
Female,49,Married,No Qualification,USA,White,Chicago,"$10,400 to $15,600",Midlands & East Anglia,No,NA,NA,
Male,33,Married,ONC/BTEC,USA,White,Ohio,"$10,400 to $15,600",Midlands & East Anglia,No,NA,NA,
Female,16,Single,GCSE/O Level,USA,White,Missouri,Refused,Midlands & East Anglia,No,NA,NA,
Male,58,Married,Degree,USA,White,Newyork,"Above $36,400",Midlands & East Anglia,No,NA,NA,
Female,33,Separated,ONC/BTEC,USA,White,Chicago,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Male,65,Married,Degree,USA,White,Ohio,"$28,600 to $36,400",Midlands & East Anglia,No,NA,NA,
Female,39,Single,Degree,Irish,White,Missouri,"$20,800 to $28,600",Midlands & East Anglia,No,NA,NA,
Female,57,Married,Higher/Sub Degree,USA,White,Newyork,"$15,600 to $20,800",Midlands & East Anglia,Yes,6,4,Packets
Female,31,Married,A Levels,USA,White,Chicago,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Male,79,Married,No Qualification,USA,White,Ohio,"$10,400 to $15,600",Midlands & East Anglia,No,NA,NA,
Female,16,Single,GCSE/CSE,USA,White,Missouri,"Under $2,600",Midlands & East Anglia,Yes,2,2,Packets
Female,54,Married,No Qualification,USA,White,Newyork,"$10,400 to $15,600",Midlands & East Anglia,No,NA,NA,
Female,37,Divorced,GCSE/O Level,USA,White,Chicago,"$10,400 to $15,600",Midlands & East Anglia,Yes,12,12,Packets
Female,87,Widowed,No Qualification,USA,White,Ohio,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Male,32,Single,Degree,USA,White,Missouri,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Male,72,Married,No Qualification,USA,White,Newyork,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Male,20,Married,GCSE/O Level,USA,Mixed,Chicago,"$10,400 to $15,600",Midlands & East Anglia,Yes,30,15,Hand-Rolled
Male,77,Married,No Qualification,USA,White,Ohio,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Female,63,Married,No Qualification,USA,White,Missouri,"Under $2,600",Midlands & East Anglia,No,NA,NA,
Male,56,Married,No Qualification,USA,White,Newyork,"$10,400 to $15,600",Midlands & East Anglia,No,NA,NA,
Male,34,Single,GCSE/O Level,USA,White,Chicago,"$15,600 to $20,800",Midlands & East Anglia,Yes,10,5,Hand-Rolled
Female,24,Married,A Levels,USA,White,Ohio,"$20,800 to $28,600",Midlands & East Anglia,No,NA,NA,
Female,42,Single,GCSE/O Level,USA,White,Missouri,"$15,600 to $20,800",Midlands & East Anglia,Yes,10,3,Hand-Rolled
Male,71,Married,No Qualification,USA,White,Newyork,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Female,48,Married,GCSE/O Level,USA,White,Chicago,"$15,600 to $20,800",Midlands & East Anglia,No,NA,NA,
Male,38,Separated,ONC/BTEC,USA,White,Ohio,"$28,600 to $36,400",Midlands & East Anglia,No,NA,NA,
Female,55,Divorced,A Levels,USA,White,Missouri,"Under $2,600",Midlands & East Anglia,No,NA,NA,
Male,50,Married,GCSE/CSE,USA,White,Newyork,"$20,800 to $28,600",Midlands & East Anglia,No,NA,NA,
Male,30,Single,ONC/BTEC,USA,White,Chicago,"$20,800 to $28,600",Midlands & East Anglia,No,NA,NA,
Female,72,Married,No Qualification,USA,White,Ohio,"$10,400 to $15,600",Midlands & East Anglia,No,NA,NA,
Male,59,Married,Other/Sub Degree,USA,White,Missouri,"$15,600 to $20,800",Midlands & East Anglia,No,NA,NA,
Female,68,Married,Higher/Sub Degree,USA,White,Newyork,"$15,600 to $20,800",Midlands & East Anglia,No,NA,NA,
Male,48,Married,No Qualification,USA,White,Chicago,"$20,800 to $28,600",Midlands & East Anglia,No,NA,NA,
Male,42,Widowed,GCSE/O Level,USA,White,Ohio,"$15,600 to $20,800",Midlands & East Anglia,No,NA,NA,
Female,72,Divorced,Other/Sub Degree,USA,White,Missouri,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Male,54,Married,Other/Sub Degree,USA,White,Newyork,Refused,Midlands & East Anglia,No,NA,NA,
Female,53,Divorced,GCSE/O Level,USA,White,Chicago,Unknown,Midlands & East Anglia,Yes,7,12,Packets
Female,86,Married,No Qualification,USA,White,Ohio,"Under $2,600",Midlands & East Anglia,No,NA,NA,
Female,57,Divorced,No Qualification,USA,White,Missouri,"$5,200 to $10,400",Midlands & East Anglia,Yes,20,15,Both/Mainly Packets
Female,30,Single,Degree,USA,Chinese,Newyork,"$15,600 to $20,800",Midlands & East Anglia,No,NA,NA,
Male,35,Single,No Qualification,Other,Chinese,Chicago,Refused,Midlands & East Anglia,Yes,20,20,Hand-Rolled
Female,25,Separated,GCSE/O Level,USA,Chinese,Ohio,"$10,400 to $15,600",Midlands & East Anglia,Yes,20,20,Packets
Male,67,Married,Other/Sub Degree,USA,Chinese,Missouri,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Female,33,Divorced,GCSE/O Level,USA,Chinese,Newyork,"$28,600 to $36,400",Midlands & East Anglia,No,NA,NA,
Female,51,Married,No Qualification,USA,Chinese,Chicago,"$5,200 to $10,400",Midlands & East Anglia,Yes,15,3,Packets
Female,54,Married,No Qualification,USA,Chinese,Ohio,"$20,800 to $28,600",Midlands & East Anglia,No,NA,NA,
Male,86,Married,No Qualification,USA,Chinese,Missouri,Unknown,Midlands & East Anglia,No,NA,NA,
Female,69,Married,No Qualification,USA,Chinese,Newyork,"Under $2,600",Midlands & East Anglia,No,NA,NA,
Female,23,Married,Higher/Sub Degree,USA,Chinese,Chicago,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Female,33,Single,Degree,USA,Chinese,Ohio,"$15,600 to $20,800",Midlands & East Anglia,Yes,18,12,Packets
Male,79,Married,No Qualification,USA,Chinese,Missouri,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Male,21,Single,A Levels,USA,Chinese,Newyork,"$5,200 to $10,400",Midlands & East Anglia,No,NA,NA,
Female,37,Divorced,GCSE/O Level,USA,Chinese,Chicago,"$2,600 to $5,200",Midlands & East Anglia,No,NA,NA,
Male,40,Married,GCSE/O Level,USA,Chinese,Ohio,"$5,200 to $10,400",Midlands & East Anglia,Yes,20,20,Both/Mainly Packets
Male,79,Single,No Qualification,USA,White,Missouri,Refused,Midlands & East Anglia,No,NA,NA,
